CH_1,CH_2
Hootie and the Blowfish,Chandler
Colin,Ross
Emily Waltham,Rachel
Russ,Barry Farber
David,Max
Maria,Chandler
Lowell (mugger),Chandler
Hootie and the Blowfish,Monica
Laura,Monica
Kyle Lowder,Kyle
The Chick and The Duck,Phoebe
Frances,Monica
Luisa Gianetti,Mr. Heckles
Stu,Monica
Mozzarella,Phoebe
Amy Greene,Sandra Greene
Unnamed Season 7 Characters,Michael
Dr. Gettleman's daughter,Monica
Mike Hannigan,Gunther
Owen,Ross
Emily Waltham's cousin,Ross
Eddie Menuek,Chandler
Alice Knight,Leslie Buffay
Frank Buffay Sr.,Leslie Buffay
Unnamed Season 1 Characters,Joey
Michelle Burke,Monica
Leslie Buffay,Mrs. Buffay (Frank Sr.'s second wife)
Ugly Naked Guy,Dan
Janice Litman-Goralnik,Sid Goralnik
Joshua Burgin,Mr. Burgin
Megan Bailey,Monica
Melanie,Chandler
Cookie,Tribbiani Sisters
Julio (poet),Carlos
Angela Delveccio,Joey
Althea's husband,Aunt Lillian
Mike Hannigan,Erica
Judy Geller,Uncle Freddie
Joey Tribbiani Sr.,Ronni Rapalono
Joanne,Kiki
Joey Tribbiani Sr.,Mary-Angela
Mr. Heckles,Phoebe
Aunt Cheryl,Ross
The Triplets,Ross
Jade,Chandler
Russell,Joey
Uncle Murray,Erica Bing
Jessica Lockhart,Ross
Tomas,Chandler
Steve (drug addict),Jack Geller
Nonnie,Ross
The Doctor,Chandler
Jamie,Susan Bunch
Janine Lecroix,Dan
Jasmine,Rachel
Silvia,Phoebe
Bonnie,Phoebe
Tomas,Tim
Dr. Harad,Ross
Luisa Gianetti,Ross
Dana Keystone,Dan
Will Colbert,Jen
Mark Robinson,Chandler
Theodore Hannigan,Ross
Cathy,Kathy
Paolo's cat,Ross
Guru Saj,Ross
Krista,Chandler
Rick,Phoebe
Gary Litman,Rachel
Mark Robinson,Monica
Will Colbert,Anita Altman
Aunt Cheryl,Chandler
Tag Jones,Ross
Dr. Baldharan,Chandler
Tag Jones,Gavin Mitchell
Dana Keystone,Ross
Ginger,Kathy
Pete Becker,Julio (poet)
Emily Waltham,Emma Geller-Greene
Aaron Goralnik,Ross
Michelle,Chandler
Tim (Season 3),Tim
Cookie,Chandler
Paolo,Monica
Nora Tyler Bing,Eric
Aunt Iris,Randall
Caroline Duffy,Chandler
Rob Donnen,Phoebe
Bobby Corso,Bob
Estelle Leonard,Ben Geller
Aunt Liddy,Ross
Susan Bunch,Ross
Cheryl,Joey
Parker,Judy Geller
Tina,Cookie
Mona,Mona's boyfriend
Felicity,Emily Waltham
Cousin Frannie,Eric
Emma Geller-Greene,Joey
Mr. Waltham,Rachel
Danny,Rachel
Gina Tribbiani,Mary
Aunt Liddy,Jack Geller
Gunther,Emily Waltham
Guru Saj,Phoebe
Carol Willick,Emily Waltham
Unnamed Season 7 Characters,Robert
Bill,Monica
Uncle Murray,Ross
Theodore Hannigan,Phoebe
Joshua Burgin,Rachel
Duncan,Frank Buffay Jr.
Ben Geller,Cookie
Julie Graff,Ross
Shovelly Joe,Chandler
The Kids,Joey
Rick (Aurora's husband),Aurora
