CH_1,CH_2
Amy Greene,Emma Geller-Greene
Pizza Guy,Rachel
Sandra Greene's father,Emma Geller-Greene
Bitsy Hannigan,Monica
Carol Willick,Monica
Danny,Joey
Marc Coreger,Julie
Marie,Tony (Allesandro's employee)
Fun Bobby,Bob
Buddy Doyle,Dan
Don,Joey
Amy Greene,Myron
Andrea Waltham,Judy Geller
Paolo,Julie
Mr. Heckles,Larry
Whitney,Ross
Mona,Phoebe
Mrs. Stevens,Paul Stevens
Mike Hannigan,Chandler
Amanda (Ross' date),Amanda (Monica And Chandler's wedding)
Nancy (Bloomingdale's Employee),Rachel
Aunt Lisa,Rachel
Kathy,Joey
Buddy Doyle,Rachel
Chandler Buffay,Frank Buffay Sr.
Hootie and the Blowfish,Steven Fisher
Leonard Hayes,Joey
Cookie,Mary-Angela
Joey Tribbiani Sr.,Tina
Ben Geller,Eric
Christmas tree customer,Rachel
Unnamed Season 7 Characters,Wayne
Jack Geller,Chandler
Nurse,Susan Bunch
Aunt Lisa,Dan
Dr. Baldharan,Fake Monica
Cousin Frannie,Stuart
Unnamed Season 7 Characters,Kim
Emily Waltham,Monica
Chloe,Chandler
Susan Bunch,Monica
Terry,Rachel
Isaac,Phoebe
Mrs. Buffay (Frank Sr.'s second wife),Leslie
Owen,Phoebe
Janice Litman-Goralnik,Phoebe
Andrew,Chandler
Dr. Robert Bobby,Robert
Uncle Sal,Joey Tribbiani Sr.
Bill,Chandler
Christmas tree customer,Phoebe
Dina,Mary-Angela
Frank Buffay Jr.,Leslie Buffay
Jack Geller,Phoebe
Pizza Guy,George Stephanopoulos
Aunt Sylvia,Ross
Kate Miller,Joey
Mary-Therese Tribbiani,Joey
Roger,Rachel
Dan,Phoebe
The next next Martin Scorsese,Joey
Bobby Rush,Barry Farber
Wayne,Ross
Cassie,Jack Geller
Althea,Ross
Joey Tribbiani Sr.,Joey
Ben Geller,Russ
Ashley Tribbiani,Gloria Tribbiani
Marcel,Chandler
Steve (drug addict),Chandler
Janice Litman-Goralnik,Jack Geller
Albert,Chandler
Jill Greene,Chandler
Krista,Julie
Althea's husband,Ross
Mike Hannigan,David
Richard Burke,Tom
Aunt Cheryl,Monica
Brenda,Monica
Dina,Mary-Therese Tribbiani
Carol Willick,Joey
The accountant,Rachel
Gina Tribbiani,Cookie
Dr. Ledbetter,Ross
Pete Becker,Chandler
Sandra Greene's father,Leonard Greene
Sandra Greene's father,Nick
Doug,Ross
Elizabeth Stevens,Ross
Tom,Rachel
Julio (cat),Joey
Nancy (Bloomingdale's Employee),Ross
Amanda (Ross' date),Tom
Leslie Buffay,Ursula Buffay
Uncle Sal,Tribbiani Sisters
Althea,Chandler
Mr. Zelner,Gavin
Danielle,Chandler
Sandy,Rachel
Cassie,Jen
Gina Tribbiani,Joey Tribbiani Sr.
Sandra Greene,Ross
The Judge,Ross
Amy Greene,Ida Greene
Cecilia Monroe,Jessica Lockhart
Uncle Dan,Monica
Mr. Douglas,Chandler
Althea's husband,Erica
Phoebe's stepfather,Ursula Buffay
Aunt Iris,Rachel
Aunt Millie,Eric
Aunt Cheryl,Ben Geller
Mr. Heckles,Mike Hannigan
Cathy,Katie
Danny,Ross
Amy Welsh,Rachel
Ms. McKenna,Chandler
Cousin Frannie,Monica
Janine Lecroix,Joey
Uncle Freddie,Monica
Guru Saj,The Chick and The Duck
Sonya,Alan
Mr. Zelner,Ross Zelner
Stephanie,Terry
Emily Waltham,Julie
Gavin,Susan Bunch
Nancy,Monica
Elizabeth Hornswoggle,Sarah
Andrea Waltham,Emily Waltham's cousin
Kim,Rachel
Tim (Season 3),Tomas
Mr. Treeger,Dan
Aunt Sylvia,Eric
Ashley Tribbiani,Joey Tribbiani Sr.
Will Colbert,Rachel
Gunther,Emma Geller-Greene
Jason,Ross
Bob (Chandler's coworker),Chandler
Steve Cera,Ugly Naked Guy
Eric (photographer),Chandler
Doug,Kara
Althea,Althea's husband
Mrs. Tedlock,Chandler
Sandra Greene,Phoebe
Joey Tribbiani Sr.,Cookie
Uncle Sal,Chandler
The next next Martin Scorsese,Ross
Cheryl,Mitzi
Nonnie,Michael
Cousin Frannie,Don
Young Ethan,Stu
Aunt Lisa,Judy Geller
Mary-Angela,Mary
Frank Jr. Jr.,Mrs. Buffay (Frank Sr.'s second wife)
Lily Buffay,Ursula Buffay
Chandler Buffay,Ursula Buffay
Sarah,Sarah Tuttle
Mary-Therese Tribbiani,Michael
Wayne,Joey
Don,Allesandro
Grandma Geller,Erica
Cassie,Ross
Frances,Mrs. Buffay (Frank Sr.'s second wife)
Emma Geller-Greene,Erica
Catherine,Jack Geller
Sarah,Allesandro
Devon,Emily Waltham
Dean Lipson,Ross
Tribbiani Sisters,Mary-Therese Tribbiani
Duncan,Silvia
Stu,Joey
Sarah,Terry
Amanda Buffamonteezi,Ross
Mike Hannigan's brother,Mike Hannigan's sister
Mike Hannigan's ex-wife,Mike Hannigan's sister
Jake,Joey
Andrea Waltham,Ross
Alan Lewis,Howard
Elizabeth Stevens,Joey
Nonna,Nonnie
Bill,Colleen
Dr. Gettleman,Ross
Charla Nichols,Rachel
Frank Buffay Sr.,Lily Buffay
Dina,Monica
Howard,Ross
Joanna,Rachel
Colleen,Owen
Walter,Chandler
Jake,Chandler
Roy Gublik,Michael
Maureen,Ross
Bob (rat),Bob
Mike Hannigan,Monica
Chandler Buffay,Mrs. Buffay (Frank Sr.'s second wife)
Stryker Ramoray,Joey
Nonna,Chandler
Mary,Phoebe
Tina,Mary-Angela
Stu,The Waiter
Ned Morse,Vince
Emma Geller-Greene,Chandler
Gunther,Josh
Precious,David
Stuart,Monica
Tony (Allesandro's employee),Tony
Richard Burke,Joey
Emily Waltham,Chandler
Mark Robinson,Mark Robinson's niece
Mary-Therese Tribbiani,Cookie
Nora Tyler Bing,Dennis Phillips
Cecilia Monroe,Monica
Paul Stevens,Joey
Sid Goralnik,Monica
Joey Tribbiani Sr.,Nonna
Joanne,Rachel
Mr. Waltham,Joanna
Don,Monica
Judy Geller,Phoebe
Earl,Lily Buffay
The Doctor,Monica
Cookie,Joey
Paul the Wine Guy,Rachel
George Stephanopoulos,Phoebe
Gina Tribbiani,Gloria Tribbiani
Jason,Vince
Cailin,Joey
Tomas,Phoebe
Doug,Phoebe
Ryan,Phoebe
Julie Coreger,Marc Coreger
Grandma Geller,Eric
Sarah Tuttle,Chandler
Aaron Goralnik,Sid Goralnik
Phoebe's stepfather,Frank Buffay Sr.
Kara,Monica
Russ,Ross
Mark Robinson,Chloe
Pizza Guy,Monica
Trudie Styler,Monica
Charlie Wheeler,Kate Miller
Mark Robinson,Nancy
Sandra Greene,Susan Bunch
Ralph Lauren,Lauren
Janine Lecroix,Chandler
Mr. Heckles,Chandler
Aunt Liddy,Judy Geller
Eddie Menuek,Michael
Mrs. Buffay (Frank Sr.'s second wife),Ursula Buffay
Maria,Dan
Jessica Ashley,Joey
Cousin Frannie,Carol Willick
Leonard Greene,Phoebe
Nancy (Bloomingdale's Employee),Nancy
Nancy,Kim
Jack Geller,Uncle Freddie
Steven Fisher,Monica
Mona,Bonnie
Nasforatool,Chandler
Barbara Burke,Richard Burke
The Zoo Employee,Dan
Caroline Duffy,Ross
Unnamed characters,Unnamed Season 1 Characters
Cailin,Caitlin
Emma Geller-Greene,Rachel
Erika Ford,Chandler
Mona,Monica
Gunther,Janice Litman-Goralnik
Steve (Chandler's boss),Chandler
Sandra Greene,Ugly Naked Guy
The Kids,Mike Hannigan
Ugly Naked Guy,Rachel
Lowell (mugger),Kyle
Duncan,Earl
Maureen,Chandler
Frank Buffay Jr.,Phoebe
The Chick and The Duck,Chick Jr. & Duck Jr.
Emma Geller-Greene,Gavin
Jen,Monica
Jean-Claude Van Damme,Phoebe
Jamie,Ben Geller
Dina,Cookie
Marcel,Rachel
Ida Greene,Phoebe
Judy Geller,Aunt Phylis
Phoebe Abbott,Chandler
Ryan,Ben Geller
Cookie,Mary
Emma Geller-Greene,Erica Bing
The Judge,Joey
Dave,Rachel
Ethan,Chandler
Marcel,Joey
Hootie and the Blowfish,Joey
Marc Coreger,Rachel
Isabella Rossellini,Joey
Ross Zelner,Ross
Ryan,Rachel
Sandy,Emma Geller-Greene
Steve (drug addict),Rachel
"Mike ""Gandalf"" Ganderson",Ross
Charlie Wheeler,Bill
Cheryl,Monica
Mrs. Buffay (Frank Sr.'s second wife),Lily Buffay
Leslie (casting director),Ross
Stuart,Erica Bing
Amanda (Ross' date),Ross
David,Joey
Parker,Jack Geller
Charlie Wheeler,Cecilia Monroe
Barbara Burke,Tim
Gavin Mitchell,Rachel
Emma Geller-Greene,Sandra Greene
Michael,Monica
Tim,Monica
Steven Fisher,Ross
Sally,Ross
Danielle,Dan
Althea's husband,Ben Geller
Aunt Iris,Chandler
Emily Waltham,Josh
Celia,Ross
Emma Geller-Greene,Aunt Marilyn
Jack Geller,Aunt Phylis
Charlie Wheeler,Kathy
Carl (Rachel's date),Ross
Katie (saleswoman),Katie
Ashley Tribbiani,Joey
Tony,Joey
Kip,Joey
Mark Robinson's niece,Chandler
Aunt Cheryl,Stuart
Caroline Duffy,Ben Geller
Chip Matthews,Nancy Branson
Cousin Frannie,Aunt Cheryl
Nurse,Joey
The Triplets,Chandler Buffay
Tommy,Phoebe
Unnamed Season 1 Characters,Nurse
Grandma Geller,Ross
Shelly,Chandler
Althea's husband,Aunt Phylis
Michelle,Monica
Emily Waltham's second husband,Stephen Waltham
Bill,Phoebe
Jack Geller,Rachel
Mike Hannigan,Joey
Alice Knight,Frank Buffay Jr.
Paula,Alan
Tag Jones,Lauren
Grandma Geller,Dan
Unnamed Season 7 Characters,Jason
Mike Hannigan,Ursula Buffay
Mozzarella,Joey
Gunther,Jack Geller
Stephen Waltham,Ben Geller
Jake,Monica
The Waiter,Ross
Chloe,Isaac
Cousin Frannie,Rachel
Mr. Waltham,Joshua Burgin
Paul Stevens,Stevens siblings' father
Cassie,Monica
Ida Greene,Sandra Greene
Mr. Adelman,Phoebe
Sophie,Ross
Mrs. K.,Sandra Greene
Gloria Tribbiani,Joey Tribbiani Sr.
Andrea Waltham,Emily Waltham
Charlton Heston,Lydia
Cousin Frannie,Emily Waltham
Bobby Corso,Monica
Steve (drug addict),Estelle Leonard
Earl,Phoebe
Tomas,Monica
Kathy,Monica
Cailin,Cailin Praytor
Shovelly Joe,Monica
Katie (saleswoman),Ross
Amanda (Ross' date),Joey
Trudie Styler,Ben Geller
Paul the Wine Guy,Monica
Bonnie,Monica
Melissa Warburton,Rachel
Ryan,Earl
Mackenzie,Chandler
Tina,Tribbiani Sisters
Cathy,Susie Moss
Trudie Styler,Phoebe
Gina Tribbiani,Chandler
Tim (Season 3),Rachel
Leonard Greene,Tony
Mike Hannigan,Ross
Elizabeth Stevens,Leonard Greene
Hootie and the Blowfish,Ross
Bonnie,Joey
The Kids,Ross
Tag Jones,Gavin
Anita Altman,Ross
Kathy,Nick
Leonard Greene,Sandra Greene
Steve (drug addict),Phoebe
Huggsy,Emma Geller-Greene
Krista,Monica
Rhonda,Peter
Jim Nelson,Phoebe
