From,To
Mark Robinson's niece,Chandler
Janine Lecroix,Monica
Don,Joey
Will Colbert,Anita Altman
Bob (rat),Bob
Dean Lipson,Ross
Leonard Greene,Ross
Pizza Guy,George Stephanopoulos
Ryan,Rachel
Carl (bully),Chandler
Leonard Greene,Stu
Amy Greene,Jill Greene
Emma Geller-Greene,Earl
Mark Robinson,Chloe
Allesandro,Emilio
Mr. Treeger,Chandler
Uncle Sal,Gloria Tribbiani
Tag Jones,Phoebe
Cassie,Erica Bing
Steve Cera,Ugly Naked Guy
Aunt Lisa,Jack Geller
Estelle Leonard,Russ
Frances,Phoebe Abbott
Jason,Vince
Judy Geller,Erica
Mr. Bunch,Susan Bunch
Grandma Geller,Chandler
Paul the Wine Guy,Joey
Michelle,Ross
Josh,Amanda (Ross' date)
Caitlin,Chandler
"David ""Tank"" Abbott",Pete Becker
Luisa Gianetti,Mr. Heckles
Chandler Buffay,Frank Buffay Sr.
Amanda (Monica And Chandler's wedding),Charles Bing
Will Colbert,Monica
Charles Bing,Eric
Mona,Joey
Alice Knight,Frank Jr. Jr.
Uncle Murray,Ross
Joshua Burgin,Jen
Mr. Waltham,Joshua Burgin
Joanne,George Stephanopoulos
Andrea Waltham,Stephen Waltham
Cousin Frannie,Cheryl
Tribbiani Sisters,Monica
Mozzarella,Phoebe
David,Rachel
Aunt Iris,Ross
Charlie Wheeler,David
Gloria Tribbiani,Rachel
Emma Geller-Greene,Jack Geller
Nonnie,Rachel
Mary-Therese Tribbiani,Joey Tribbiani Sr.
Parker,Monica
Danny,Chandler
Steve (Chandler's boss),Chandler
The Judge,Joey
Unnamed Season 7 Characters,Nurse
Erica,Shovelly Joe
Tony (Allesandro's employee),Tony
Al Zebooker,Mr. Simon
Julio (cat),Lily Buffay
Kyle,Whitney
Dana Keystone,Chandler
Emma Geller-Greene,Jill Greene
Jeffrey,Chandler
Cassie,Chandler
Aunt Liddy,Jack Geller
Phoebe's stepfather,Frank Buffay Sr.
Uncle Freddie,Monica
Sharon Majeski,Rachel
Nancy Oberblau,Ross
Althea,Judy Geller
Timothy Burke,Michael
Leslie,Leslie (casting director)
Clifford Burnett,Joey
Duncan,Mrs. Buffay (Frank Sr.'s second wife)
Ugly Naked Guy,Phoebe
Fun Bobby's grandfather,Monica
Nora Tyler Bing,Eric
Dana Keystone,Dan
Michelle,Jen
Nurse,Lydia
Jack Geller,Robert
Alice Knight,Frank Buffay Sr.
Emma Geller-Greene,Aunt Iris
Sandra Greene,Chloe
Dr. Gettleman's daughter,Chandler
Frank Buffay Jr.,Ross
Stryker Ramoray,Eric
Cathy,Robert
Steve (drug addict),Jack Geller
Ben Geller,Mrs. Bunch
Leslie,Phoebe
Steve (drug addict),Mark Robinson
Ned Morse,Joey
Frank Jr. Jr.,Phoebe Abbott
Andrea Waltham,Jack Geller
Dr. Oberman,Phoebe
Krista,Julie
Marcel,Phoebe
Mrs. Buffay (Frank Sr.'s second wife),Leslie
Aunt Lisa,Uncle Dan
Chip Matthews,Nancy
Dina,Mary-Therese Tribbiani
