From,To
Uncle Sal,Ben Geller
Chip Matthews,Nancy Branson
Aunt Sylvia,Richard Burke
Frank Buffay Jr.,Ursula Buffay
Sandra Greene's father,Leonard Greene
Ned Morse,Vince
Stuart,Ross
Muriel,Ross
Mark Robinson,Mrs. Robinson
Paolo's cat,Paolo
Stuart,Stu
Joey Tribbiani Sr.,Cookie
Cookie,Chandler
Mary-Angela,Joey
Gloria Tribbiani,Mary-Angela
Mike Hannigan,Mike Hannigan's brother
Mr. Rastatter,Monica
Tina,Nonnie
Elizabeth Stevens,Rachel
Unnamed Season 7 Characters,Chandler
Unidentified Phoebe Buffay fan,Larry
Emma Geller-Greene,Rachel
Precious,Rachel
Aunt Phylis,Ross
Anita Altman,Ross
Nancy,Ralph Lauren
Cookie,Tribbiani Sisters
Rick,Bill
Mr. Wheeler,Rachel
Cousin Frannie,Stuart
Julio (poet),Monica
Aaron Goralnik,Ross
Mr. Heckles,Joey
Dean Lipson,Marcel
Erin,Ross
The Housekeeper,Stephen Waltham
Elizabeth Hornswoggle,Ross
Uncle Sal,Ross
Cheryl,Joey
Kim,Phoebe
Emily Waltham's cousin,Mr. Waltham
Theodore Hannigan,Phoebe
Carl (Rachel's date),Monica
Althea,Aunt Lillian
Isabella Rossellini,Joey
Marie,Tony
Aunt Cheryl,Jack Geller
Frank Jr. Jr.,Phoebe
Janice Litman-Goralnik,Aaron Goralnik
Jade,Bob
Angela Delveccio,Chandler
Mr. Waltham,Josh
Phoebe Abbott,Ursula Buffay
Molly,Phoebe
Frank Buffay Sr.,Joey
Charlie Wheeler,Phoebe
Rick (Aurora's husband),Rick
Laura,Stu
Ben Geller,Rachel
Julie Graff,Chandler
Mike Hannigan,Kara
Stu,Monica
Doug,Phoebe
Isabella Rossellini,Paul Stevens
Mark Robinson,Gunther
Ashley Tribbiani,Tribbiani Sisters
Chloe,Isaac
Cheryl,Mitzi
Chandler Buffay,Lily Buffay
Mitzi,Ross
Cousin Frannie,Aunt Cheryl
Charlie Wheeler,Elizabeth Stevens
Paolo's cat,Rachel
Whitney,Ross
Jasmine,Phoebe
Guru Saj,The Chick and The Duck
The next next Martin Scorsese,Monica
Frank Buffay Jr.,Mike Hannigan
Isaac,Joey
Maureen,Jack Geller
Andrea Waltham,Rachel
Molly,Monica
Michael,Rachel
Richard Burke,Ross
Marc Coreger,Ross
Ginger,Joey
Alan,Rachel
Hootie and the Blowfish,Phoebe
Sarah,Allesandro
The Triplets,Phoebe
Janine Lecroix,Phoebe
Charlie Wheeler,Julie
Dan,Don
Jean-Claude Van Damme,Joey
Joanna,Lauren
Nervous male passenger,Rachel
Althea,Erica
Dr. Harad,Arthur
Phoebe's stepfather,Lily Buffay
Leslie Buffay,Ross
Mr. Douglas,Joey
Amanda (Ross' date),Ross
Hootie and the Blowfish,Monica
Amanda (Monica And Chandler's wedding),Rachel
Malcolm,Phoebe
Nurse,Estelle Leonard
The Kids,Carol Willick
Chloe,Joey
Mr. Burgin,Josh
Richard Burke,Monica
Gary (neighbor),Gary
Sid Goralnik,Monica
Judy Geller,Cookie
The Dry Cleaner,The Dry Cleaner's Wife
Tina,Mary-Angela
Jen,Joey
Mr. Heckles,Mike Hannigan
Carl (Rachel's date),Tom
Gary Litman,Chandler
Susan Bunch,Rachel
Catherine,Jack Geller
Wayne,Andrew
Jake,Chandler
Bobby Corso,Tribbiani Sisters
Tribbiani Sisters,Phoebe
Carlos,Tony
Aunt Sylvia,Judy Geller
Dr. Roger,Joey
Amanda (Ross' date),Laura
Timmy,Tommy
Althea,Joey
Carol Willick,Mr. Bunch
Erica Bing,Joey
Charles Bing,Erica
Dr. Baldharan,Chandler
Jill Greene,Joey
Mr. Heckles,Paolo's cat
Frank Buffay Sr.,Mike Hannigan
Parker,Phoebe
Tag Jones,Ross
Emily Waltham's second husband,Mr. Waltham
Glenda,Ross
Amanda (Ross' date),Monica
Danny,Rachel
Cookie,Mary
Chip Matthews,Ross
Melanie,Joey
Cailin,Cailin Praytor
Nonna,Joey
Amanda (Ross' date),Amanda Buffamonteezi
Mackenzie,Monica
Cassie,Rachel
Minnie,Susan Bunch
Joshua Burgin,Joshua Burgin's ex-wife
Leonard Greene,Monica
Cecilia Monroe,Jessica Lockhart
Frank Jr. Jr.,Leslie
Mary-Therese Tribbiani,Chandler
Peter,Joey
Tim,Monica
Terry,Joey
Rick Sanoven,Joey
Kate Miller,Rachel
Tag Jones,Lauren
Chandler Buffay,Leslie Buffay
Judy Geller,Eric
Mr. Heckles,Marcel
"Roy ""Goodbody""",Danny
Emily Waltham's second husband,Ross
Michelle,Monica
Delia,Rachel
Gunther,Joey
The accountant,Ross
Uncle Murray,Emily Waltham
Erica Bing,Judy Geller
Eric (photographer),Chandler
Paula,Alan
Unnamed Season 7 Characters,Doug
Dennis Phillips,Monica
The Kids,Rachel
Ursula Buffay,Rachel
Nina Bookbinder,Doug
Mrs. Burnett,Rachel
Judy Geller,Sandra Greene
Mr. Zelner,Gavin
Uncle Murray,Monica
Will Colbert,Jen
Amy Greene,Myron
Carlos,Emilio
Cousin Frannie,Emma Geller-Greene
The Chick and The Duck,Phoebe
Duncan,Phoebe Abbott
Chi-Chi,Ross
Richard Burke,Tom
Charla Nichols,Sarah Tuttle
Mary Ellen Jenkins,Phoebe
Sarah,Terry
The Triplets,Leslie
Tim (Season 3),Tomas
Aunt Iris,Monica
Paul Stevens,Rachel
Ugly Naked Guy,Ross
Fun Bobby's grandfather,Bob
The Chick and The Duck,Emily Waltham
Bill,Colleen
Mike Hannigan's ex-wife,Theodore Hannigan
Mike Hannigan,Mike Hannigan's ex-wife
Kiki,George Stephanopoulos
Parker,Jen
Krista,Lauren
Gina Tribbiani,Chandler
The Triplets,Alice Knight
Jason,Robert
Bonnie,Phoebe
Estelle Leonard,Ben Geller
The accountant,Monica
Duncan,Frances
Lily Buffay,Monica
Alice Knight,Leslie Buffay
Lizzy,Phoebe
Nora Tyler Bing,Joey
Chappy,Ross
Carol Willick,Joey
Emily Waltham,Chandler
Tony,Joey
Gina Tribbiani,Tribbiani Sisters
Stuart,Rachel
Tribbiani Sisters,Michael
Muriel,Rachel
Gloria Tribbiani,Tribbiani Sisters
Krista,Monica
Nonnie,Tribbiani Sisters
Elizabeth Stevens,Mrs. Stevens
Amanda (Ross' date),Tom
Gunther,Judy Geller
Aunt Lillian,Erica
Aunt Lisa,Eric
David,Dan
Gunther,Josh
Jean-Claude Van Damme,Marcel
Ben Geller,Mr. Bunch
Stryker Ramoray,Joey
The Zoo Employee,Ross
Mr. Kaplan Jr.,Rachel
Aunt Millie,Emma Geller-Greene
Barbara Burke,Ross
Jamie,Susan Bunch
Anita Altman,Rachel
Melissa Warburton,Phoebe
Frank Buffay Jr.,Monica
Cousin Frannie,Don
Mary,Lily Buffay
Gavin Mitchell,Emma Geller-Greene
Phoebe Abbott,Ross
Sandy,Emma Geller-Greene
Frances,Lily Buffay
Tomas,Tom
Steve (drug addict),Richard Burke
Mike Hannigan,Gunther
Tag Jones,Gavin Mitchell
Bitsy Hannigan,Phoebe
Rick Sanoven,Rick
Estelle Leonard,Ross
Cailin,Ross
Julie,Joey
Mike Hannigan,Joey
Mary-Therese Tribbiani,Tina
Janice Litman-Goralnik,Judy Geller
Bobby Rush,Rachel
Jade,Chandler
Emma Geller-Greene,Eric
Joshua Burgin's ex-wife,Rachel
Gunther,Dave
Roy,Joey
Aunt Sylvia,Ben Geller
Mary Ellen Jenkins,Jen
Lauren,Joey
Kyle,Phoebe
Alan Lewis,Ned Morse
Bob (Chandler's coworker),Rachel
Huggsy,Emma Geller-Greene
Eric,Monica
Leslie Buffay,Mrs. Buffay (Frank Sr.'s second wife)
Mike Hannigan's ex-wife,Mike Hannigan's sister
The Doctor,Eric
Leslie (casting director),Ross
